contig_1	99708	0.467325
contig_10	320081	0.4183
contig_11	240001	0.453552
contig_12	386387	0.445514
contig_14	117896	0.352361
contig_15	278515	0.446866
contig_16	77083	0.639752
contig_17	78353	0.446007
contig_18	333800	0.4505
contig_19	97669	0.437672
contig_2	3179384	0.443746
contig_20	177054	0.449484
contig_21	51358	0.660637
contig_22	1866219	0.637309
contig_23	1016282	0.634263
contig_24	276169	0.64378
contig_25	278157	0.464579
contig_26	124773	0.444479
contig_27	174482	0.442773
contig_28	169805	0.453426
contig_29	4681059	0.584626
contig_3	43207	0.450899
contig_30	61100	0.465876
contig_31	97121	0.446186
contig_32	97157	0.581492
contig_33	574774	0.631935
contig_34	138358	0.454307
contig_35	240688	0.626782
contig_36	27473	0.341572
contig_37	77013	0.443185
contig_39	1251	0.39968
contig_4	342477	0.636805
contig_40	12798	0.497968
contig_41	57581	0.433042
contig_42	1553714	0.438145
contig_43	5088	0.665881
contig_5	29375	0.461413
contig_6	484736	0.442515
contig_7	11769	0.499873
contig_8	170255	0.454753
contig_9	302871	0.433696
